# Train        Test        
   12.801182    12.615908 
   12.867868    12.544134 
   12.832292    12.568696 
   12.823691    12.571619 
   12.832291    12.557887 
   12.816277    12.559194 
   12.828703    12.571619 
   12.831960    12.505363 
   12.810945    12.537689 
   12.837279    12.523801 
   12.808569    12.509828 
   12.784975    12.510301 
   12.789501    12.499492 
   12.796061    12.515913 
   12.805710    12.514552 
   12.775227    12.484535 
   12.781796    12.471491 
   12.758391    12.494394 
   12.774339    12.475523 
   12.781985    12.464472 
   12.793210    12.507421 
   12.789399    12.462714 
   12.795010    12.490147 
   12.784867    12.491946 
   12.757087    12.494395 
   12.772182    12.493920 
   12.760251    12.510584 
   12.754803    12.430839 
   12.846018    12.435997 
   12.822168    12.441174 
   12.816082    12.425660 
   12.800576    12.438919 
   12.835194    12.428583 
   12.835194    12.414477 
   12.784833    12.437405 
   12.798458    12.424813 
   12.813633    12.426502 
   12.830311    12.411250 
   12.823912    12.416166 
   12.860694    12.429665 
   12.817174    12.418664 
   12.838767    12.406526 
   12.825508    12.374822 
   12.838356    12.421112 
   12.817486    12.458121 
   12.890471    12.458121 
   12.876734    12.468458 
   12.854901    12.475630 
   12.863901    12.465768 
   12.904919    12.659515 
   13.039809    12.666929 
   13.022627    12.667402 
   13.021300    12.646016 
   13.008034    12.674816 
   12.997925    12.471733 
   12.901086    12.484992 
   12.875149    12.492405 
   12.855145    12.467243 
   12.839236    12.501414 
   12.804832    12.498250 
   12.780996    12.498017 
   12.815167    12.490604 
   12.823247    12.490604 
   12.825262    12.487440 
   12.807754    12.490845 
   12.810676    12.498491 
   12.800340    12.481827 
   12.872255    12.646016 
   12.967360    12.666687 
   12.935639    12.632757 
   12.834672    12.487914 
   12.956798    12.680187 
   12.976867    12.654989 
   12.988969    12.625344 
   12.822915    12.498250 
   12.796659    12.462845 
   12.863662    12.595249 
   12.841926    12.457881 
   12.825499    12.588765 
   12.847298    12.581593 
   12.854471    12.530758 
   12.873244    12.563370 
   12.829064    12.435735 
   12.850049    12.440458 
   12.812016    12.430122 
   12.805858    12.450794 
   12.860313    12.573705 
   12.859609    12.554594 
   12.800364    12.432812 
   12.783186    12.554835 
   12.837570    12.571257 
   12.848147    12.545620 
   12.813111    12.634773 
   12.853388    12.681143 
   12.832717    12.664239 
   12.844123    12.668729 
   12.894161    12.720712 
   12.976774    12.705849 
   12.988125    12.710376 
   13.000610    12.667402 
   12.954198    12.695488 
   12.950160    12.747711 
   12.994931    12.661557 
   12.838614    12.683592 
   12.883292    12.657066 
   12.873215    12.676420 
   12.960942    12.729685 
   12.975734    12.683591 
   12.850948    12.664479 
   12.927201    12.717419 
   12.864840    12.634688 
   12.823555    12.671652 
   12.900614    12.698566 
   12.951087    12.683833 
   12.929111    12.695488 
   12.935416    12.657066 
   12.858763    12.679066 
   12.976410    12.710461 
   12.954812    12.677376 
   12.931361    12.634902 
   12.806021    12.631971 
   12.837682    12.612626 
   12.841296    12.523618 
   12.787165    12.441085 
   12.715168    12.435472 
   12.720124    12.433671 
   12.739236    12.403990 
   12.702615    12.436481 
   12.736980    12.438041 
   12.744848    12.432309 
   12.725665    12.412268 
